node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,0,0.28,24.0,1000.0,True,False,[],[1]
2,1,1,1,0.18,2.0,3.4,False,False,[0],"[2, 3, 5, 9, 13]"
3,2,1,3,0.03,1.0,2.7,False,False,[1],"[4, 10, 14]"
4,2,2,4,0.25,1.0,9.0,False,False,[1],[10]
5,3,1,9,0.15,5.0,5.0,False,False,[2],[8]
6,3,2,2,0.18,11.0,2.8,False,False,[1],"[6, 7, 14]"
7,4,1,6,0.26,26.0,3.0,False,False,[5],"[9, 11]"
8,4,2,7,0.19,36.0,7.8,False,False,[5],[12]
9,5,1,14,0.3,13.0,9.4,False,False,[4],[15]
10,5,2,11,0.2,26.0,3.9,False,False,"[1, 6]",[16]
11,5,3,10,0.25,8.0,7.2,False,False,"[2, 3]",[16]
12,6,1,12,0.06,2.0,1.4,False,False,[6],[17]
13,6,2,13,0.09,6.0,2.7,False,False,[7],[15]
14,6,3,5,0.09,14.0,5.6,False,False,[1],[16]
15,6,4,8,0.2,20.0,7.1,False,False,"[2, 5]",[17]
16,7,1,17,0.1,5.0,3.9,False,False,"[8, 12]",[18]
17,7,2,15,0.09,7.0,4.5,False,False,"[9, 10, 13]",[18]
18,7,3,16,0.17,30.0,1.8,False,False,"[11, 14]",[18]
19,8,1,18,0.29,17.0,4.5,False,True,"[15, 16, 17]",[]
