node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,0,0.16,38.0,1000.0,True,False,[],[1]
2,1,1,1,0.07,1.0,1.8,False,False,[0],"[2, 3, 4]"
3,2,1,3,0.25,36.0,8.3,False,False,[1],[12]
4,2,2,2,0.01,5.0,0.4,False,False,[1],"[5, 6, 7]"
5,2,3,4,0.08,8.0,2.6,False,False,[1],"[10, 11, 12]"
6,3,1,8,0.12,26.0,3.2,False,False,[3],[13]
7,3,2,7,0.02,13.0,1.3,False,False,[3],"[8, 9]"
8,3,3,5,0.22,40.0,3.1,False,False,[3],[9]
9,4,1,11,0.29,4.0,5.0,False,False,[6],[14]
10,4,2,10,0.07,36.0,2.4,False,False,"[6, 7]",[13]
11,4,3,9,0.19,9.0,4.0,False,False,[4],[11]
12,5,1,12,0.28,5.0,4.0,False,False,"[4, 10]",[15]
13,5,2,6,0.19,21.0,5.8,False,False,"[4, 2]",[15]
14,5,3,13,0.02,1.0,1.4,False,False,"[5, 9]",[15]
15,5,4,14,0.11,16.0,2.7,False,False,[8],[15]
16,6,1,15,0.22,14.0,4.4,False,True,"[11, 12, 13, 14]",[]
