node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,0,0.26,19.0,1000.0,True,False,[],[1]
2,1,1,1,0.07,29.0,1.9,False,False,[0],"[2, 3, 4, 5, 8]"
3,2,1,4,0.21,11.0,8.2,False,False,[1],[7]
4,2,2,3,0.29,21.0,4.7,False,False,[1],[7]
5,2,3,5,0.01,3.0,1.8,False,False,[1],[6]
6,2,4,2,0.16,34.0,2.8,False,False,[1],[6]
7,3,1,6,0.28,29.0,2.1,False,False,"[4, 5]",[8]
8,3,2,7,0.21,21.0,8.9,False,False,"[2, 3]",[8]
9,4,1,8,0.29,30.0,4.5,False,False,"[1, 6, 7]",[9]
10,5,1,9,0.12,34.0,2.5,False,True,[8],[]
