node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,0,0.24,20.0,1000.0,True,False,[],[1]
2,1,1,1,0.23,22.0,1.8,False,False,[0],"[2, 5]"
3,2,1,3,0.26,3.0,7.2,False,False,[1],"[3, 4]"
4,3,1,7,0.17,32.0,4.3,False,False,[2],[12]
5,3,2,5,0.15,2.0,3.4,False,False,[2],"[6, 11]"
6,3,3,2,0.05,35.0,1.8,False,False,[1],"[7, 10]"
7,4,1,9,0.24,13.0,7.6,False,False,[4],[8]
8,4,2,4,0.06,38.0,2.1,False,False,[5],[13]
9,5,1,11,0.13,11.0,6.3,False,False,[6],[9]
10,6,1,12,0.14,13.0,4.1,False,False,[8],[12]
11,7,1,6,0.24,21.0,8.3,False,False,[5],[14]
12,7,2,10,0.17,33.0,5.9,False,False,[4],[14]
13,7,3,13,0.11,9.0,5.0,False,False,"[9, 3]",[14]
14,7,4,8,0.15,13.0,3.0,False,False,[7],[14]
15,8,1,14,0.02,1.0,0.7,False,True,"[10, 11, 12, 13]",[]
