node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,0,0.02,15.0,1000.0,True,False,[],"[1, 2]"
2,1,1,2,0.22,23.0,4.1,False,False,[0],"[6, 9]"
3,1,2,1,0.15,36.0,4.9,False,False,[0],"[3, 4]"
4,2,1,3,0.18,8.0,5.2,False,False,[2],"[4, 5, 7]"
5,3,1,9,0.09,15.0,3.7,False,False,"[2, 3]",[11]
6,3,2,6,0.11,39.0,3.8,False,False,[3],[11]
7,3,3,4,0.28,40.0,4.2,False,False,[1],[8]
8,3,4,7,0.01,37.0,1.2,False,False,[3],"[10, 11]"
9,4,1,8,0.19,15.0,3.3,False,False,[6],[11]
10,4,2,5,0.02,1.0,1.8,False,False,[1],[10]
11,5,1,11,0.11,6.0,5.5,False,False,"[7, 9]",[12]
12,5,2,10,0.12,13.0,1.8,False,False,"[5, 7, 4, 8]",[12]
13,6,1,12,0.12,29.0,1.9,False,True,"[10, 11]",[]
