node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,0,0.07,17.0,1000.0,True,False,[],"[1, 2]"
2,1,1,1,0.2,25.0,4.2,False,False,[0],"[3, 12]"
3,1,2,2,0.03,5.0,1.9,False,False,[0],"[4, 6]"
4,2,1,3,0.17,27.0,2.5,False,False,[1],"[5, 7, 9]"
5,3,1,5,0.13,25.0,4.0,False,False,[2],[8]
6,3,2,7,0.1,3.0,6.1,False,False,[3],"[10, 11]"
7,3,3,4,0.05,36.0,1.7,False,False,[2],[11]
8,4,1,6,0.16,36.0,3.8,False,False,[3],"[8, 11]"
9,5,1,10,0.05,6.0,2.9,False,False,"[7, 4]",[12]
10,5,2,8,0.12,24.0,4.2,False,False,[3],[12]
11,5,3,11,0.01,20.0,1.6,False,False,[5],[12]
12,5,4,9,0.05,13.0,1.5,False,False,"[5, 6, 7]",[12]
13,6,1,12,0.17,18.0,3.2,False,False,"[1, 8, 9, 10, 11]",[13]
14,7,1,13,0.19,13.0,1.8,False,True,[12],[]
