node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,0,0.01,30.0,1000.0,True,False,[],[1]
2,1,1,1,0.3,6.0,3.0,False,False,[0],"[2, 3, 4, 5, 8]"
3,2,1,3,0.15,28.0,6.2,False,False,[1],[9]
4,2,2,4,0.19,22.0,1.9,False,False,[1],[8]
5,2,3,2,0.3,3.0,6.8,False,False,[1],"[6, 7, 10]"
6,2,4,5,0.02,14.0,1.6,False,False,[1],[11]
7,3,1,6,0.06,32.0,4.5,False,False,[4],[10]
8,3,2,9,0.19,18.0,7.4,False,False,[4],[10]
9,3,3,8,0.08,11.0,2.2,False,False,"[1, 3]",[10]
10,3,4,7,0.03,29.0,2.4,False,False,[2],[11]
11,4,1,10,0.3,22.0,4.5,False,False,"[4, 6, 7, 8]",[11]
12,5,1,11,0.09,11.0,1.4,False,False,"[5, 9, 10]",[12]
13,6,1,12,0.15,24.0,2.2,False,True,[11],[]
