node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,0,0.03,38.0,1000.0,True,False,[],[1]
2,1,1,1,0.04,31.0,1.1,False,False,[0],"[2, 4, 5, 9]"
3,2,1,2,0.16,11.0,2.7,False,False,[1],[3]
4,3,1,6,0.08,12.0,1.9,False,False,[2],"[6, 7]"
5,4,1,4,0.04,23.0,3.1,False,False,[1],"[10, 12]"
6,4,2,3,0.17,40.0,5.3,False,False,[1],[8]
7,4,3,9,0.21,7.0,5.9,False,False,[3],[8]
8,4,4,8,0.28,5.0,4.0,False,False,[3],[10]
9,5,1,11,0.15,5.0,5.2,False,False,"[5, 6]",[12]
10,5,2,5,0.13,3.0,5.9,False,False,[1],"[11, 12]"
11,5,3,10,0.02,25.0,1.0,False,False,"[4, 7]",[12]
12,6,1,7,0.24,34.0,6.1,False,False,[9],[12]
13,7,1,12,0.15,8.0,2.6,False,False,"[4, 9, 8, 10, 11]",[13]
14,8,1,13,0.02,35.0,1.1,False,True,[12],[]
