node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,0,0.3,21.0,1000.0,True,False,[],"[1, 2, 3, 4]"
2,1,1,2,0.04,8.0,1.9,False,False,[0],"[5, 6, 9]"
3,1,2,1,0.06,31.0,1.3,False,False,[0],[8]
4,1,3,3,0.13,30.0,3.7,False,False,[0],"[7, 10]"
5,1,4,4,0.29,12.0,5.0,False,False,[0],[6]
6,2,1,7,0.28,16.0,6.8,False,False,[1],[7]
7,2,2,8,0.07,7.0,2.7,False,False,"[1, 4]",[7]
8,3,1,9,0.03,1.0,1.4,False,False,"[3, 5, 6]",[10]
9,3,2,5,0.05,25.0,1.2,False,False,[2],[10]
10,3,3,6,0.23,31.0,6.1,False,False,[1],[10]
11,4,1,10,0.03,6.0,0.6,False,False,"[3, 7, 8, 9]",[11]
12,5,1,11,0.21,35.0,1.9,False,True,[10],[]
