node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,1,0.13,27.0,1000,True,False,[],"[1, 2]"
2,1,1,1,0.14,7.0,100,False,False,[0],"[3, 4]"
3,1,2,1,0.14,13.0,100,False,False,[0],"[5, 7]"
4,2,1,1,0.01,12.0,100,False,False,[1],"[12, 13]"
5,2,2,1,0.15,5.0,100,False,False,[1],[13]
6,2,3,1,0.01,23.0,100,False,False,[2],"[6, 8, 9]"
7,3,1,1,0.13,4.0,100,False,False,[5],[11]
8,3,2,1,0.12,20.0,100,False,False,[2],"[10, 11]"
9,3,3,1,0.08,35.0,100,False,False,[5],[11]
10,4,1,1,0.14,9.0,100,False,False,[5],[13]
11,4,2,1,0.08,21.0,100,False,False,[7],[13]
12,4,3,1,0.11,38.0,100,False,False,"[7, 6, 8]",[13]
13,5,1,1,0.13,4.0,100,False,False,[3],[14]
14,5,2,1,0.08,32.0,100,False,False,"[3, 4, 10, 11, 9]",[14]
15,6,1,1,0.11,6.0,100,False,True,"[12, 13]",[]
