node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,1,0.04,37.0,1000,True,False,[],"[1, 2, 3, 4]"
2,1,1,1,0.06,7.0,100,False,False,[0],[9]
3,1,2,1,0.08,36.0,100,False,False,[0],"[7, 8]"
4,1,3,1,0.09,34.0,100,False,False,[0],"[9, 11]"
5,1,4,1,0.15,6.0,100,False,False,[0],"[5, 6, 7, 10]"
6,2,1,1,0.06,2.0,100,False,False,[4],[10]
7,2,2,1,0.12,24.0,100,False,False,[4],[11]
8,2,3,1,0.12,2.0,100,False,False,"[2, 4]",[10]
9,2,4,1,0.01,29.0,100,False,False,[2],[10]
10,2,5,1,0.07,10.0,100,False,False,"[1, 3]",[10]
11,3,1,1,0.12,36.0,100,False,False,"[4, 9, 5, 7, 8]",[12]
12,3,2,1,0.13,3.0,100,False,False,"[3, 6]",[12]
13,4,1,1,0.13,29.0,100,False,True,"[10, 11]",[]
