node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,1,0.11,28.0,1000,True,False,[],"[1, 2]"
2,1,1,1,0.05,12.0,100,False,False,[0],"[4, 6, 8]"
3,1,2,1,0.07,33.0,100,False,False,[0],"[3, 10]"
4,2,1,1,0.12,25.0,100,False,False,[2],[5]
5,2,2,1,0.07,4.0,100,False,False,[1],[9]
6,3,1,1,0.09,22.0,100,False,False,[3],[7]
7,3,2,1,0.12,39.0,100,False,False,[1],"[10, 8]"
8,4,1,1,0.08,38.0,100,False,False,[5],[10]
9,4,2,1,0.04,11.0,100,False,False,"[1, 6]",[9]
10,5,1,1,0.08,13.0,100,False,False,"[4, 8]",[11]
11,5,2,1,0.04,22.0,100,False,False,"[2, 6, 7]",[11]
12,6,1,1,0.15,28.0,100,False,True,"[9, 10]",[]
