node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,1,0.13,39.0,1000,True,False,[],"[1, 2]"
2,1,1,1,0.03,39.0,100,False,False,[0],[3]
3,1,2,1,0.14,32.0,100,False,False,[0],"[4, 5, 6, 9]"
4,2,1,1,0.12,34.0,100,False,False,[1],[7]
5,2,2,1,0.04,2.0,100,False,False,[2],"[5, 7, 8]"
6,3,1,1,0.01,5.0,100,False,False,"[2, 4]",[10]
7,3,2,1,0.05,6.0,100,False,False,[2],[10]
8,3,3,1,0.01,29.0,100,False,False,"[4, 3]",[10]
9,3,4,1,0.11,14.0,100,False,False,[4],[10]
10,3,5,1,0.11,17.0,100,False,False,[2],[10]
11,4,1,1,0.05,38.0,100,False,True,"[5, 6, 7, 8, 9]",[]
