node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,1,0.09,28.0,1000,True,False,[],"[1, 2]"
2,1,1,1,0.08,12.0,100,False,False,[0],[3]
3,1,2,1,0.12,39.0,100,False,False,[0],"[4, 5, 7, 11, 12]"
4,2,1,1,0.07,2.0,100,False,False,[1],[10]
5,2,2,1,0.11,8.0,100,False,False,[2],[9]
6,2,3,1,0.04,11.0,100,False,False,[2],"[6, 8]"
7,3,1,1,0.12,2.0,100,False,False,[5],"[11, 13]"
8,3,2,1,0.1,11.0,100,False,False,[2],[10]
9,3,3,1,0.07,2.0,100,False,False,[5],[12]
10,3,4,1,0.07,17.0,100,False,False,[4],[13]
11,4,1,1,0.13,4.0,100,False,False,"[3, 7]",[12]
12,4,2,1,0.05,37.0,100,False,False,"[2, 6]",[12]
13,5,1,1,0.14,29.0,100,False,False,"[2, 8, 10, 11]",[14]
14,5,2,1,0.15,17.0,100,False,False,"[6, 9]",[14]
15,6,1,1,0.13,35.0,100,False,True,"[12, 13]",[]
