node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,1,0.14,18.0,1000,True,False,[],"[1, 2, 3]"
2,1,1,1,0.03,5.0,100,False,False,[0],[7]
3,1,2,1,0.04,38.0,100,False,False,[0],[4]
4,1,3,1,0.07,4.0,100,False,False,[0],"[4, 5]"
5,2,1,1,0.09,25.0,100,False,False,"[3, 2]",[7]
6,2,2,1,0.05,22.0,100,False,False,[3],"[6, 7, 8]"
7,3,1,1,0.13,20.0,100,False,False,[5],"[8, 9]"
8,3,2,1,0.09,39.0,100,False,False,"[5, 1, 4]",[9]
9,4,1,1,0.01,40.0,100,False,False,"[5, 6]",[10]
10,4,2,1,0.05,20.0,100,False,False,"[6, 7]",[10]
11,5,1,1,0.09,40.0,100,False,True,"[8, 9]",[]
