node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,1,0.14,35.0,1000,True,False,[],"[1, 2]"
2,1,1,1,0.1,22.0,100,False,False,[0],"[3, 4, 5, 7, 10, 12]"
3,1,2,1,0.07,25.0,100,False,False,[0],[4]
4,2,1,1,0.04,15.0,100,False,False,[1],[7]
5,2,2,1,0.12,12.0,100,False,False,"[1, 2]",[8]
6,2,3,1,0.1,14.0,100,False,False,[1],"[6, 9, 13]"
7,3,1,1,0.12,8.0,100,False,False,[5],[8]
8,3,2,1,0.03,3.0,100,False,False,"[1, 3]",[11]
9,4,1,1,0.12,34.0,100,False,False,"[4, 6]","[10, 13]"
10,4,2,1,0.02,3.0,100,False,False,[5],[11]
11,5,1,1,0.09,36.0,100,False,False,"[1, 8]",[13]
12,5,2,1,0.07,14.0,100,False,False,"[7, 9]",[12]
13,6,1,1,0.05,34.0,100,False,False,"[1, 11]",[14]
14,6,2,1,0.05,32.0,100,False,False,"[5, 8, 10]",[14]
15,7,1,1,0.13,29.0,100,False,True,"[12, 13]",[]
