node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,1,0.09,31.0,1000,True,False,[],"[1, 2]"
2,1,1,1,0.01,21.0,100,False,False,[0],"[4, 5, 9, 10]"
3,1,2,1,0.07,35.0,100,False,False,[0],"[3, 4, 7]"
4,2,1,1,0.03,36.0,100,False,False,[2],"[6, 8]"
5,2,2,1,0.1,4.0,100,False,False,"[1, 2]",[6]
6,2,3,1,0.06,6.0,100,False,False,[1],[7]
7,3,1,1,0.02,7.0,100,False,False,"[3, 4]",[11]
8,3,2,1,0.01,11.0,100,False,False,"[2, 5]",[12]
9,3,3,1,0.06,40.0,100,False,False,[3],[11]
10,3,4,1,0.05,16.0,100,False,False,[1],[11]
11,3,5,1,0.02,16.0,100,False,False,[1],[12]
12,4,1,1,0.11,6.0,100,False,False,"[9, 6, 8]",[13]
13,4,2,1,0.08,10.0,100,False,False,"[10, 7]",[13]
14,5,1,1,0.08,37.0,100,False,True,"[11, 12]",[]
