node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,11,0.15,31.0,1000.0,True,False,[],[1]
2,1,1,10,0.16,4.0,1.8,False,False,[0],"[2, 3, 4, 7]"
3,2,1,7,0.14,31.0,2.1,False,False,[1],"[6, 8]"
4,2,2,8,0.16,28.0,4.3,False,False,[1],[5]
5,2,3,9,0.22,21.0,3.7,False,False,[1],[5]
6,3,1,5,0.27,8.0,6.9,False,False,"[3, 4]",[9]
7,3,2,4,0.06,39.0,2.7,False,False,[2],[10]
8,3,3,6,0.16,24.0,3.9,False,False,[1],[10]
9,3,4,3,0.06,27.0,2.0,False,False,[2],"[9, 10]"
10,4,1,1,0.27,32.0,2.5,False,False,"[8, 5]",[11]
11,4,2,2,0.09,17.0,2.6,False,False,"[8, 6, 7]",[11]
12,5,1,0,0.26,2.0,3.5,False,True,"[9, 10]",[]
