node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,10,0.13,40.0,1000.0,True,False,[],[1]
2,1,1,9,0.21,10.0,2.7,False,False,[0],"[2, 3, 4, 5]"
3,2,1,7,0.19,27.0,7.7,False,False,[1],"[6, 8]"
4,2,2,8,0.28,22.0,6.5,False,False,[1],[8]
5,2,3,6,0.24,30.0,4.3,False,False,[1],"[7, 8]"
6,2,4,5,0.01,8.0,1.4,False,False,[1],[9]
7,3,1,4,0.03,16.0,1.3,False,False,[2],[9]
8,4,1,2,0.1,36.0,1.3,False,False,[4],[9]
9,4,2,3,0.07,24.0,3.4,False,False,"[2, 4, 3]",[9]
10,5,1,1,0.29,2.0,3.1,False,False,"[8, 5, 6, 7]",[10]
11,6,1,0,0.01,14.0,0.8,False,True,[9],[]
