node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,11,0.25,18.0,1000.0,True,False,[],[1]
2,1,1,10,0.17,22.0,3.7,False,False,[0],"[2, 3, 4, 5, 7]"
3,2,1,6,0.27,9.0,7.7,False,False,[1],[10]
4,2,2,9,0.3,38.0,3.7,False,False,[1],"[6, 9]"
5,2,3,8,0.14,9.0,4.6,False,False,[1],[8]
6,2,4,4,0.23,15.0,8.7,False,False,[1],[10]
7,3,1,7,0.12,24.0,2.4,False,False,[3],[9]
8,4,1,5,0.19,10.0,7.2,False,False,[1],[10]
9,4,2,3,0.02,30.0,2.6,False,False,[4],[10]
10,4,3,2,0.12,13.0,3.5,False,False,"[3, 6]",[10]
11,5,1,1,0.28,14.0,4.3,False,False,"[5, 2, 7, 8, 9]",[11]
12,6,1,0,0.12,34.0,1.8,False,True,[10],[]
