node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,6,0.2,32.0,1000.0,True,False,[],"[1, 2]"
2,1,1,5,0.15,22.0,4.0,False,False,[0],"[3, 4, 5, 7]"
3,1,2,15,0.19,28.0,9.3,False,False,[0],[9]
4,2,1,4,0.15,38.0,2.5,False,False,[1],"[6, 8]"
5,2,2,14,0.07,19.0,4.6,False,False,[1],"[6, 10]"
6,2,3,13,0.07,28.0,5.7,False,False,[1],[13]
7,3,1,3,0.06,37.0,1.6,False,False,"[3, 4]",[11]
8,3,2,12,0.13,21.0,4.7,False,False,[1],[14]
9,4,1,11,0.05,10.0,3.0,False,False,[3],[12]
10,4,2,10,0.15,33.0,8.5,False,False,[2],[14]
11,4,3,9,0.03,10.0,3.4,False,False,[4],"[12, 14]"
12,4,4,2,0.01,7.0,0.8,False,False,[6],[13]
13,5,1,8,0.01,31.0,1.7,False,False,"[10, 8]",[13]
14,6,1,1,0.1,33.0,3.4,False,False,"[5, 11, 12]",[15]
15,6,2,7,0.2,16.0,9.0,False,False,"[10, 7, 9]",[15]
16,7,1,0,0.17,21.0,2.5,False,True,"[13, 14]",[]
