node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,6,0.19,17.0,1000.0,True,False,[],"[1, 2]"
2,1,1,5,0.29,23.0,4.9,False,False,[0],"[3, 4, 5, 6, 12]"
3,1,2,15,0.02,10.0,1.7,False,False,[0],"[9, 13]"
4,2,1,4,0.1,30.0,5.4,False,False,[1],"[12, 7]"
5,2,2,14,0.27,9.0,4.8,False,False,[1],"[8, 11]"
6,2,3,13,0.25,9.0,7.4,False,False,[1],[8]
7,3,1,12,0.1,1.0,4.5,False,False,[1],[7]
8,4,1,3,0.08,23.0,3.2,False,False,"[6, 3]",[10]
9,5,1,11,0.25,38.0,3.7,False,False,"[4, 5]",[10]
10,5,2,10,0.19,16.0,5.3,False,False,[2],[11]
11,6,1,2,0.25,12.0,3.5,False,False,"[7, 8]","[11, 14]"
12,7,1,9,0.23,10.0,7.6,False,False,"[4, 9, 10]",[15]
13,7,2,8,0.21,11.0,5.5,False,False,"[1, 3]",[15]
14,7,3,7,0.28,37.0,9.2,False,False,[2],[15]
15,7,4,1,0.09,29.0,3.0,False,False,[10],[15]
16,8,1,0,0.16,16.0,3.0,False,True,"[11, 12, 13, 14]",[]
