node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,4,0.06,6.0,1000.0,True,False,[],"[1, 2]"
2,1,1,3,0.02,28.0,1.0,False,False,[0],"[3, 5, 7, 8]"
3,1,2,10,0.17,6.0,4.4,False,False,[0],"[4, 9]"
4,2,1,2,0.04,35.0,1.5,False,False,[1],[8]
5,2,2,9,0.28,13.0,7.9,False,False,[2],[6]
6,3,1,8,0.14,12.0,5.2,False,False,[1],"[8, 7]"
7,4,1,7,0.24,33.0,9.0,False,False,[4],[10]
8,4,2,6,0.26,38.0,5.3,False,False,"[1, 5]",[10]
9,4,3,1,0.02,26.0,0.6,False,False,"[1, 3, 5]",[10]
10,4,4,5,0.21,32.0,5.9,False,False,[2],[10]
11,5,1,0,0.09,38.0,2.7,False,True,"[6, 7, 8, 9]",[]
