node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,4,0.27,18.0,1000.0,True,False,[],"[1, 2, 3, 4]"
2,1,1,15,0.22,10.0,8.0,False,False,[0],"[6, 7]"
3,1,2,3,0.03,39.0,1.4,False,False,[0],[5]
4,1,3,14,0.15,16.0,3.2,False,False,[0],[8]
5,1,4,13,0.19,5.0,6.0,False,False,[0],[9]
6,2,1,2,0.08,16.0,2.1,False,False,[2],[12]
7,2,2,12,0.29,25.0,7.3,False,False,[1],"[10, 12, 13]"
8,2,3,11,0.01,2.0,1.5,False,False,[1],[10]
9,2,4,10,0.24,9.0,7.9,False,False,[3],[14]
10,3,1,9,0.09,37.0,5.2,False,False,[4],"[11, 14]"
11,3,2,8,0.25,4.0,7.3,False,False,"[6, 7]",[14]
12,4,1,7,0.3,2.0,9.0,False,False,[9],[15]
13,4,2,1,0.06,37.0,1.3,False,False,"[6, 5]",[15]
14,4,3,6,0.17,1.0,4.1,False,False,[6],[15]
15,4,4,5,0.26,23.0,6.4,False,False,"[9, 8, 10]",[15]
16,5,1,0,0.02,6.0,0.8,False,True,"[11, 12, 13, 14]",[]
