node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,5,0.16,7.0,1000.0,True,False,[],"[1, 2, 3, 4]"
2,1,1,15,0.29,19.0,10.1,False,False,[0],[8]
3,1,2,4,0.23,40.0,4.6,False,False,[0],"[5, 9, 14]"
4,1,3,14,0.14,13.0,4.5,False,False,[0],[6]
5,1,4,13,0.17,22.0,4.6,False,False,[0],"[7, 13]"
6,2,1,12,0.04,16.0,2.7,False,False,[2],"[10, 11]"
7,2,2,11,0.08,32.0,5.0,False,False,[3],[12]
8,2,3,10,0.19,8.0,7.5,False,False,[4],[10]
9,2,4,9,0.06,32.0,2.6,False,False,[1],[10]
10,3,1,3,0.12,39.0,2.4,False,False,[2],[12]
11,3,2,8,0.21,40.0,9.2,False,False,"[5, 7, 8]",[13]
12,3,3,7,0.14,26.0,7.9,False,False,[5],[13]
13,4,1,2,0.18,27.0,3.4,False,False,"[9, 6]",[14]
14,5,1,6,0.27,2.0,9.6,False,False,"[4, 10, 11]",[15]
15,5,2,1,0.21,26.0,4.5,False,False,"[2, 12]",[15]
16,6,1,0,0.28,10.0,3.0,False,True,"[13, 14]",[]
