node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,5,0.1,12.0,1000.0,True,False,[],[1]
2,1,1,4,0.27,32.0,3.9,False,False,[0],"[2, 3, 4, 10, 12]"
3,2,1,13,0.1,36.0,4.5,False,False,[1],[11]
4,2,2,3,0.03,13.0,1.5,False,False,[1],"[5, 6]"
5,3,1,12,0.04,12.0,2.3,False,False,[1],"[7, 8]"
6,3,2,2,0.29,37.0,2.9,False,False,[3],[11]
7,4,1,11,0.01,21.0,1.1,False,False,[3],[10]
8,4,2,10,0.05,33.0,2.3,False,False,[4],[9]
9,4,3,9,0.29,10.0,8.8,False,False,[4],[10]
10,5,1,8,0.24,4.0,4.1,False,False,[7],[13]
11,5,2,7,0.07,11.0,2.5,False,False,"[1, 6, 8]",[13]
12,5,3,1,0.27,15.0,3.9,False,False,"[5, 2]",[13]
13,5,4,6,0.27,10.0,6.0,False,False,[1],[13]
14,6,1,0,0.28,15.0,4.4,False,True,"[9, 10, 11, 12]",[]
