node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,5,0.13,37.0,1000.0,True,False,[],"[1, 2]"
2,1,1,13,0.08,20.0,2.5,False,False,[0],"[4, 5]"
3,1,2,4,0.13,3.0,5.7,False,False,[0],"[3, 7, 8, 11]"
4,2,1,3,0.27,19.0,4.8,False,False,[2],"[8, 9, 12]"
5,2,2,12,0.3,4.0,3.5,False,False,[1],[6]
6,2,3,11,0.09,22.0,4.2,False,False,[1],[11]
7,3,1,10,0.27,27.0,5.0,False,False,[4],[10]
8,3,2,9,0.13,37.0,4.0,False,False,[2],[10]
9,3,3,2,0.04,36.0,2.7,False,False,"[2, 3]",[11]
10,3,4,8,0.11,14.0,4.8,False,False,[3],[11]
11,4,1,7,0.13,16.0,3.5,False,False,"[7, 6]",[13]
12,4,2,1,0.19,20.0,7.2,False,False,"[2, 5, 8, 9]",[13]
13,4,3,6,0.05,17.0,4.1,False,False,[3],[13]
14,5,1,0,0.27,29.0,5.2,False,True,"[10, 11, 12]",[]
