node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,1,0.13,36.0,1000,True,False,[],"[1, 2, 3]"
2,1,1,1,0.14,13.0,10,False,False,[0],"[4, 7]"
3,1,2,1,0.12,8.0,9,False,False,[0],"[5, 6]"
4,1,3,1,0.13,40.0,5,False,False,[0],"[8, 10]"
5,2,1,1,0.03,2.0,4,False,False,[1],[9]
6,2,2,1,0.11,11.0,9,False,False,[2],[9]
7,2,3,1,0.07,8.0,7,False,False,[2],[9]
8,2,4,1,0.06,19.0,6,False,False,[1],[10]
9,2,5,1,0.02,37.0,1,False,False,[3],[9]
10,3,1,1,0.11,27.0,4,False,False,"[4, 5, 6, 8]",[11]
11,3,2,1,0.09,30.0,8,False,False,"[3, 7]",[11]
12,4,1,1,0.11,33.0,4,False,True,"[9, 10]",[]
