node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,1,0.02,21.0,1000,True,False,[],"[1, 2, 3]"
2,1,1,1,0.14,10.0,10,False,False,[0],"[6, 7]"
3,1,2,1,0.14,3.0,10,False,False,[0],[4]
4,1,3,1,0.13,39.0,4,False,False,[0],[5]
5,2,1,1,0.08,20.0,7,False,False,[2],[9]
6,2,2,1,0.04,40.0,2,False,False,[3],[9]
7,2,3,1,0.02,21.0,3,False,False,[1],[9]
8,2,4,1,0.13,24.0,9,False,False,[1],[8]
9,3,1,1,0.05,7.0,6,False,False,[7],[10]
10,3,2,1,0.04,29.0,2,False,False,"[4, 5, 6]",[10]
11,4,1,1,0.1,40.0,4,False,True,"[8, 9]",[]
