node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,1,0.1,35.0,1000,True,False,[],"[1, 2, 3]"
2,1,1,1,0.03,38.0,2,False,False,[0],[4]
3,1,2,1,0.1,16.0,9,False,False,[0],"[5, 7]"
4,1,3,1,0.07,10.0,8,False,False,[0],"[4, 10, 11]"
5,2,1,1,0.11,37.0,5,False,False,"[1, 3]",[6]
6,2,2,1,0.14,8.0,11,False,False,[2],[8]
7,3,1,1,0.02,23.0,2,False,False,[4],[9]
8,3,2,1,0.01,4.0,3,False,False,[2],[9]
9,4,1,1,0.14,35.0,11,False,False,[5],[11]
10,4,2,1,0.15,15.0,6,False,False,"[6, 7]",[10]
11,5,1,1,0.08,24.0,4,False,False,"[3, 9]",[12]
12,5,2,1,0.04,9.0,6,False,False,"[3, 8]",[12]
13,6,1,1,0.1,29.0,4,False,True,"[10, 11]",[]
