node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,1,0.02,40.0,1000,True,False,[],"[1, 2]"
2,1,1,1,0.03,40.0,2,False,False,[0],[4]
3,1,2,1,0.04,21.0,5,False,False,[0],"[3, 4, 6, 7]"
4,2,1,1,0.06,34.0,7,False,False,[2],[8]
5,2,2,1,0.15,39.0,5,False,False,"[1, 2]",[5]
6,3,1,1,0.03,34.0,2,False,False,[4],[9]
7,3,2,1,0.06,30.0,7,False,False,[2],[8]
8,3,3,1,0.15,1.0,11,False,False,[2],[9]
9,4,1,1,0.15,8.0,11,False,False,"[3, 6]",[10]
10,4,2,1,0.06,1.0,3,False,False,"[5, 7]",[10]
11,5,1,1,0.1,27.0,4,False,True,"[8, 9]",[]
