node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,1,0.11,18.0,1000,True,False,[],"[1, 2]"
2,1,1,1,0.02,18.0,2,False,False,[0],"[3, 4, 5, 7]"
3,1,2,1,0.13,9.0,10,False,False,[0],[6]
4,2,1,1,0.07,36.0,3,False,False,[1],"[6, 8, 9]"
5,2,2,1,0.09,8.0,8,False,False,[1],[6]
6,3,1,1,0.02,3.0,4,False,False,[1],[10]
7,3,2,1,0.11,36.0,4,False,False,"[2, 3, 4]",[8]
8,3,3,1,0.15,35.0,11,False,False,[1],[10]
9,4,1,1,0.05,35.0,3,False,False,"[3, 6]",[11]
10,4,2,1,0.06,6.0,7,False,False,[3],[11]
11,4,3,1,0.05,11.0,6,False,False,"[5, 7]",[11]
12,5,1,1,0.03,38.0,2,False,True,"[8, 9, 10]",[]
