node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,1,0.04,33.0,1000,True,False,[],"[1, 2]"
2,1,1,1,0.12,36.0,5,False,False,[0],"[3, 5, 6]"
3,1,2,1,0.11,37.0,10,False,False,[0],[4]
4,2,1,1,0.09,11.0,9,False,False,[1],[11]
5,2,2,1,0.03,13.0,5,False,False,[2],"[7, 10]"
6,2,3,1,0.04,28.0,3,False,False,[1],"[8, 9]"
7,2,4,1,0.11,17.0,10,False,False,[1],[8]
8,3,1,1,0.04,18.0,6,False,False,[4],[11]
9,3,2,1,0.13,40.0,5,False,False,"[5, 6]",[11]
10,3,3,1,0.11,2.0,10,False,False,[5],[11]
11,4,1,1,0.12,9.0,10,False,False,[4],[12]
12,4,2,1,0.02,33.0,2,False,False,"[3, 8, 7, 9]",[12]
13,5,1,1,0.02,37.0,2,False,True,"[10, 11]",[]
