node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,1,0.06,36.0,1000,True,False,[],"[1, 2]"
2,1,1,1,0.13,12.0,9,False,False,[0],[9]
3,1,2,1,0.07,39.0,3,False,False,[0],"[3, 4, 5, 7]"
4,2,1,1,0.07,22.0,7,False,False,[2],[6]
5,2,2,1,0.12,10.0,9,False,False,[2],[8]
6,2,3,1,0.08,33.0,3,False,False,[2],[9]
7,3,1,1,0.12,8.0,9,False,False,[3],[10]
8,3,2,1,0.02,32.0,3,False,False,[2],[10]
9,3,3,1,0.06,1.0,6,False,False,[4],[10]
10,3,4,1,0.01,36.0,1,False,False,"[1, 5]",[10]
11,4,1,1,0.01,39.0,1,False,True,"[6, 7, 8, 9]",[]
