node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,1,0.13,11.0,1000,True,False,[],"[1, 2, 3]"
2,1,1,1,0.02,40.0,2,False,False,[0],"[4, 6, 8]"
3,1,2,1,0.13,24.0,10,False,False,[0],"[7, 9]"
4,1,3,1,0.08,20.0,8,False,False,[0],[5]
5,2,1,1,0.02,27.0,2,False,False,[1],[7]
6,2,2,1,0.1,4.0,9,False,False,[3],[6]
7,3,1,1,0.1,22.0,9,False,False,"[1, 5]",[9]
8,3,2,1,0.14,40.0,5,False,False,"[2, 4]",[9]
9,4,1,1,0.08,14.0,8,False,False,[1],[10]
10,4,2,1,0.12,32.0,4,False,False,"[2, 6, 7]",[10]
11,5,1,1,0.07,24.0,3,False,True,"[8, 9]",[]
