node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,1,0.05,25.0,1000,True,False,[],"[1, 2]"
2,1,1,1,0.15,13.0,10,False,False,[0],"[3, 6]"
3,1,2,1,0.13,29.0,4,False,False,[0],"[4, 8]"
4,2,1,1,0.15,12.0,10,False,False,[1],"[5, 6]"
5,2,2,1,0.08,38.0,3,False,False,[2],[7]
6,3,1,1,0.05,39.0,5,False,False,[3],[9]
7,3,2,1,0.03,15.0,4,False,False,"[1, 3]",[9]
8,3,3,1,0.11,40.0,4,False,False,[4],[9]
9,3,4,1,0.07,8.0,7,False,False,[2],[9]
10,4,1,1,0.06,37.0,3,False,True,"[5, 6, 7, 8]",[]
