node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,1,0.09,20.0,1000,True,False,[],"[1, 2]"
2,1,1,1,0.13,6.0,100,False,False,[0],"[3, 4, 5, 11]"
3,1,2,1,0.01,33.0,100,False,False,[0],"[6, 8]"
4,2,1,1,0.03,11.0,100,False,False,[1],[11]
5,2,2,1,0.07,36.0,100,False,False,[1],[8]
6,2,3,1,0.15,17.0,100,False,False,[1],[7]
7,2,4,1,0.15,37.0,100,False,False,[2],"[7, 9, 10]"
8,3,1,1,0.14,36.0,100,False,False,"[5, 6]",[11]
9,3,2,1,0.11,3.0,100,False,False,"[2, 4]",[10]
10,3,3,1,0.02,13.0,100,False,False,[6],[11]
11,4,1,1,0.07,19.0,100,False,False,"[6, 8]",[12]
12,4,2,1,0.02,36.0,100,False,False,"[1, 7, 3, 9]",[12]
13,5,1,1,0.03,35.0,100,False,True,"[10, 11]",[]
