node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,14,0.21,36.0,1000,True,False,[],[1]
2,1,1,13,0.13,24.0,100,False,False,[0],"[2, 3, 4, 5, 8, 11]"
3,2,1,12,0.16,32.0,100,False,False,[1],"[7, 9]"
4,2,2,11,0.04,6.0,100,False,False,[1],"[6, 13]"
5,2,3,10,0.1,5.0,100,False,False,[1],[9]
6,2,4,6,0.3,30.0,100,False,False,[1],[13]
7,3,1,8,0.3,29.0,100,False,False,[3],[9]
8,3,2,9,0.25,12.0,100,False,False,[2],"[10, 12]"
9,4,1,7,0.25,6.0,100,False,False,[1],[12]
10,4,2,4,0.09,9.0,100,False,False,"[2, 4, 6]",[13]
11,4,3,5,0.09,5.0,100,False,False,[7],[12]
12,5,1,3,0.1,31.0,100,False,False,[1],[14]
13,5,2,2,0.12,10.0,100,False,False,"[7, 8, 10]",[14]
14,5,3,1,0.09,23.0,100,False,False,"[3, 5, 9]",[14]
15,6,1,0,0.29,2.0,100,False,True,"[11, 12, 13]",[]
