node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,6,0.3,34.0,1000,True,False,[],[1]
2,1,1,5,0.23,31.0,100,False,False,[0],"[2, 3, 4, 5]"
3,2,1,10,0.27,38.0,100,False,False,[1],[9]
4,2,2,9,0.13,12.0,100,False,False,[1],[8]
5,2,3,8,0.11,39.0,100,False,False,[1],[7]
6,2,4,4,0.05,1.0,100,False,False,[1],"[6, 8, 9]"
7,3,1,3,0.19,28.0,100,False,False,[5],[7]
8,4,1,2,0.14,33.0,100,False,False,"[6, 4]",[9]
9,4,2,7,0.04,39.0,100,False,False,"[5, 3]",[9]
10,5,1,1,0.05,19.0,100,False,False,"[2, 5, 7, 8]",[10]
11,6,1,0,0.1,13.0,100,False,True,[9],[]
