node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,17,0.1,6.0,1000,True,False,[],"[1, 2, 3]"
2,1,1,16,0.2,7.0,100,False,False,[0],"[5, 11, 13]"
3,1,2,14,0.2,21.0,100,False,False,[0],"[4, 9, 14]"
4,1,3,15,0.12,25.0,100,False,False,[0],"[7, 8]"
5,2,1,12,0.02,3.0,100,False,False,[2],[10]
6,2,2,13,0.07,12.0,100,False,False,[1],"[6, 16]"
7,3,1,8,0.18,10.0,100,False,False,[5],[11]
8,3,2,9,0.18,10.0,100,False,False,[3],[13]
9,3,3,11,0.29,4.0,100,False,False,[3],[12]
10,4,1,10,0.01,19.0,100,False,False,[2],[10]
11,5,1,6,0.3,14.0,100,False,False,"[9, 4]",[14]
12,5,2,4,0.06,8.0,100,False,False,"[1, 6]",[15]
13,5,3,7,0.02,14.0,100,False,False,[8],[14]
14,5,4,5,0.24,12.0,100,False,False,"[1, 7]",[16]
15,6,1,3,0.11,35.0,100,False,False,"[2, 10, 12]",[16]
16,7,1,2,0.12,29.0,100,False,False,[11],[17]
17,7,2,1,0.05,40.0,100,False,False,"[5, 14, 13]",[17]
18,8,1,0,0.17,4.0,100,False,True,"[15, 16]",[]
