node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,5,0.06,40.0,1000,True,False,[],"[1, 2]"
2,1,1,4,0.21,8.0,100,False,False,[0],"[3, 5, 7, 10]"
3,1,2,16,0.24,7.0,100,False,False,[0],"[4, 6, 9, 11, 15]"
4,2,1,15,0.25,23.0,100,False,False,[1],[8]
5,2,2,14,0.05,27.0,100,False,False,[2],[15]
6,2,3,13,0.23,34.0,100,False,False,[1],[9]
7,2,4,12,0.24,32.0,100,False,False,[2],[13]
8,3,1,11,0.03,31.0,100,False,False,[1],[13]
9,3,2,10,0.21,1.0,100,False,False,[3],[13]
10,3,3,9,0.09,6.0,100,False,False,"[2, 5]",[12]
11,3,4,3,0.03,27.0,100,False,False,[1],[11]
12,4,1,2,0.15,40.0,100,False,False,"[2, 10]",[14]
13,5,1,8,0.19,9.0,100,False,False,[9],[16]
14,5,2,7,0.25,23.0,100,False,False,"[7, 8, 6]",[16]
15,5,3,1,0.26,20.0,100,False,False,[11],[16]
16,5,4,6,0.26,22.0,100,False,False,"[2, 4]",[16]
17,6,1,0,0.09,16.0,100,False,True,"[12, 13, 14, 15]",[]
