node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,6,0.25,14.0,1000,True,False,[],"[1, 2]"
2,1,1,5,0.08,40.0,100,False,False,[0],"[3, 5, 6, 13]"
3,1,2,14,0.22,10.0,100,False,False,[0],[4]
4,2,1,13,0.07,25.0,100,False,False,[1],[12]
5,2,2,12,0.23,10.0,100,False,False,[2],"[7, 9, 10]"
6,2,3,4,0.29,14.0,100,False,False,[1],"[8, 10]"
7,3,1,11,0.14,20.0,100,False,False,[1],[9]
8,3,2,10,0.1,24.0,100,False,False,[4],[11]
9,3,3,3,0.15,39.0,100,False,False,[5],[9]
10,4,1,2,0.17,1.0,100,False,False,"[4, 8, 6]",[13]
11,4,2,9,0.2,9.0,100,False,False,"[4, 5]",[13]
12,4,3,8,0.03,25.0,100,False,False,[7],[13]
13,4,4,7,0.26,36.0,100,False,False,[3],[13]
14,5,1,1,0.13,15.0,100,False,False,"[1, 9, 10, 11, 12]",[14]
15,6,1,0,0.27,25.0,100,False,True,[13],[]
