node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,4,0.17,6.0,1000,True,False,[],"[1, 2, 3]"
2,1,1,13,0.28,7.0,100,False,False,[0],"[5, 8, 9]"
3,1,2,3,0.21,16.0,100,False,False,[0],"[4, 7, 12]"
4,1,3,12,0.26,14.0,100,False,False,[0],[6]
5,2,1,11,0.15,34.0,100,False,False,[2],[12]
6,2,2,10,0.13,30.0,100,False,False,[1],[11]
7,3,1,9,0.07,21.0,100,False,False,[3],[10]
8,4,1,2,0.21,40.0,100,False,False,[2],[11]
9,4,2,8,0.04,16.0,100,False,False,[1],[12]
10,4,3,7,0.27,33.0,100,False,False,[1],[10]
11,5,1,6,0.09,24.0,100,False,False,"[6, 9]",[13]
12,5,2,1,0.07,21.0,100,False,False,"[5, 7]",[13]
13,5,3,5,0.3,25.0,100,False,False,"[2, 4, 8]",[13]
14,6,1,0,0.02,22.0,100,False,True,"[10, 11, 12]",[]
