node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,9,0.2,16.0,1000,True,False,[],"[1, 2, 3, 4]"
2,1,1,8,0.04,19.0,100,False,False,[0],[5]
3,1,2,6,0.25,37.0,100,False,False,[0],"[8, 5]"
4,1,3,7,0.26,16.0,100,False,False,[0],"[6, 7]"
5,1,4,5,0.09,40.0,100,False,False,[0],[8]
6,2,1,2,0.07,25.0,100,False,False,"[1, 2]",[8]
7,2,2,3,0.19,33.0,100,False,False,[3],[8]
8,2,3,4,0.16,15.0,100,False,False,[3],[8]
9,3,1,1,0.08,35.0,100,False,False,"[4, 2, 5, 6, 7]",[9]
10,4,1,0,0.27,18.0,100,False,True,[8],[]
