node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,13,0.2,26.0,1000,True,False,[],"[1, 2, 3]"
2,1,1,10,0.28,21.0,100,False,False,[0],"[9, 11]"
3,1,2,11,0.12,28.0,100,False,False,[0],"[4, 6]"
4,1,3,12,0.23,13.0,100,False,False,[0],"[5, 10]"
5,2,1,8,0.21,5.0,100,False,False,[2],[7]
6,3,1,9,0.23,4.0,100,False,False,[3],"[8, 12]"
7,3,2,7,0.16,14.0,100,False,False,[2],[10]
8,3,3,4,0.17,19.0,100,False,False,[4],[11]
9,4,1,5,0.17,1.0,100,False,False,[5],[12]
10,4,2,6,0.3,7.0,100,False,False,[1],[12]
11,4,3,3,0.18,35.0,100,False,False,"[3, 6]",[11]
12,5,1,1,0.3,9.0,100,False,False,"[1, 7, 10]",[13]
13,5,2,2,0.12,27.0,100,False,False,"[5, 8, 9]",[13]
14,6,1,0,0.21,40.0,100,False,True,"[11, 12]",[]
