node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,11,0.3,30.0,1000.0,True,False,[],"[1, 2]"
2,1,1,10,0.24,37.0,0.5,False,False,[0],"[3, 4, 5]"
3,1,2,8,0.09,3.0,100.0,False,False,[0],[6]
4,2,1,9,0.06,35.0,0.2,False,False,[1],[7]
5,3,1,4,0.23,28.0,100.0,False,False,[1],"[9, 10]"
6,3,2,5,0.25,27.0,100.0,False,False,[1],[9]
7,3,3,6,0.12,13.0,100.0,False,False,[2],[8]
8,3,4,7,0.2,7.0,0.5,False,False,[3],[8]
9,4,1,3,0.15,26.0,0.5,False,False,"[6, 7]",[10]
10,4,2,2,0.2,12.0,100.0,False,False,"[4, 5]",[10]
11,5,1,1,0.04,31.0,0.2,False,False,"[4, 8, 9]",[11]
12,6,1,0,0.01,11.0,0.2,False,True,[10],[]
