node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,15,0.2,21.0,1000.0,True,False,[],"[1, 2, 3, 4]"
2,1,1,11,0.02,24.0,100.0,False,False,[0],"[6, 7, 9]"
3,1,2,8,0.1,15.0,100.0,False,False,[0],"[11, 12]"
4,1,3,9,0.24,4.0,100.0,False,False,[0],[13]
5,1,4,14,0.24,4.0,0.6,False,False,[0],"[5, 8]"
6,2,1,12,0.17,13.0,100.0,False,False,[4],[7]
7,3,1,5,0.21,17.0,100.0,False,False,[1],[12]
8,3,2,7,0.07,7.0,100.0,False,False,"[1, 5]",[14]
9,3,3,13,0.12,32.0,0.3,False,False,[4],[10]
10,3,4,6,0.19,7.0,100.0,False,False,[1],[12]
11,4,1,10,0.29,36.0,0.6,False,False,[8],[14]
12,5,1,3,0.01,13.0,100.0,False,False,[2],[15]
13,5,2,1,0.07,23.0,100.0,False,False,"[2, 6, 9]",[15]
14,5,3,4,0.13,8.0,100.0,False,False,[3],[15]
15,5,4,2,0.07,16.0,0.3,False,False,"[7, 10]",[15]
16,6,1,0,0.28,40.0,0.6,False,True,"[11, 12, 13, 14]",[]
