node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,11,0.01,16.0,1000.0,True,False,[],[1]
2,1,1,10,0.03,12.0,0.2,False,False,[0],"[2, 3, 4, 6, 8]"
3,2,1,8,0.22,9.0,100.0,False,False,[1],"[5, 7]"
4,2,2,9,0.22,12.0,0.5,False,False,[1],[7]
5,3,1,7,0.21,39.0,100.0,False,False,[1],[9]
6,3,2,4,0.04,40.0,100.0,False,False,[2],[10]
7,3,3,5,0.2,9.0,100.0,False,False,[1],[10]
8,3,4,6,0.3,37.0,0.5,False,False,"[2, 3]",[9]
9,4,1,3,0.18,11.0,100.0,False,False,[1],[11]
10,4,2,2,0.07,21.0,0.3,False,False,"[7, 4]",[11]
11,4,3,1,0.19,13.0,100.0,False,False,"[5, 6]",[11]
12,5,1,0,0.16,25.0,0.5,False,True,"[8, 9, 10]",[]
