node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,13,0.11,3.0,1000.0,True,False,[],"[1, 2]"
2,1,1,12,0.2,27.0,0.5,False,False,[0],"[3, 4, 5, 6, 12]"
3,1,2,9,0.17,16.0,100.0,False,False,[0],"[6, 10]"
4,2,1,11,0.21,2.0,100.0,False,False,[1],"[9, 12]"
5,2,2,8,0.02,12.0,100.0,False,False,[1],[7]
6,2,3,10,0.13,39.0,0.5,False,False,[1],"[7, 8]"
7,3,1,5,0.11,3.0,100.0,False,False,"[1, 2]",[12]
8,3,2,4,0.22,39.0,100.0,False,False,"[4, 5]",[10]
9,3,3,7,0.05,34.0,0.3,False,False,[5],[11]
10,3,4,6,0.26,3.0,100.0,False,False,[3],[11]
11,4,1,1,0.16,9.0,100.0,False,False,"[2, 7]",[13]
12,4,2,3,0.18,26.0,0.5,False,False,"[8, 9]",[13]
13,4,3,2,0.05,6.0,100.0,False,False,"[1, 3, 6]",[13]
14,5,1,0,0.16,26.0,0.5,False,True,"[10, 11, 12]",[]
