node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,9,0.26,19.0,1000.0,True,False,[],[1]
2,1,1,8,0.07,29.0,0.2,False,False,[0],"[2, 3, 4, 5, 8]"
3,2,1,5,0.21,11.0,100.0,False,False,[1],[7]
4,2,2,4,0.29,21.0,100.0,False,False,[1],[7]
5,2,3,6,0.01,3.0,100.0,False,False,[1],[6]
6,2,4,7,0.16,34.0,0.3,False,False,[1],[6]
7,3,1,3,0.28,29.0,0.5,False,False,"[4, 5]",[8]
8,3,2,2,0.21,21.0,100.0,False,False,"[2, 3]",[8]
9,4,1,1,0.29,30.0,0.6,False,False,"[1, 6, 7]",[9]
10,5,1,0,0.12,34.0,0.5,False,True,[8],[]
