node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,9,0.23,39.0,1000.0,True,False,[],[1]
2,1,1,8,0.29,33.0,0.4,False,False,[0],"[2, 3, 4, 6, 7]"
3,2,1,6,0.12,12.0,100.0,False,False,[1],[6]
4,2,2,7,0.01,40.0,0.2,False,False,[1],"[7, 8]"
5,2,3,5,0.19,33.0,100.0,False,False,[1],[5]
6,3,1,1,0.18,7.0,100.0,False,False,[4],[9]
7,3,2,2,0.2,10.0,100.0,False,False,"[1, 2]",[9]
8,3,3,4,0.1,36.0,0.4,False,False,"[1, 3]",[9]
9,3,4,3,0.19,7.0,100.0,False,False,[3],[9]
10,4,1,0,0.09,9.0,0.4,False,True,"[5, 6, 7, 8]",[]
