node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,13,0.12,19.0,1000.0,True,False,[],"[1, 2, 3]"
2,1,1,10,0.25,2.0,100.0,False,False,[0],"[6, 7]"
3,1,2,9,0.05,4.0,100.0,False,False,[0],"[4, 10]"
4,1,3,12,0.12,26.0,0.3,False,False,[0],"[5, 8, 12]"
5,2,1,5,0.05,15.0,100.0,False,False,[2],[11]
6,2,2,11,0.3,39.0,0.5,False,False,[3],"[12, 8]"
7,3,1,6,0.12,8.0,100.0,False,False,[1],[12]
8,3,2,7,0.25,7.0,100.0,False,False,[1],[9]
9,3,3,8,0.09,19.0,0.3,False,False,"[3, 5]","[9, 12]"
10,4,1,3,0.28,39.0,0.6,False,False,"[7, 8]",[13]
11,4,2,4,0.01,10.0,100.0,False,False,[2],[13]
12,4,3,1,0.12,27.0,100.0,False,False,[4],[13]
13,4,4,2,0.2,1.0,100.0,False,False,"[3, 8, 5, 6]",[13]
14,5,1,0,0.01,23.0,0.2,False,True,"[9, 10, 11, 12]",[]
