node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,13,0.03,38.0,1000.0,True,False,[],[1]
2,1,1,12,0.04,31.0,0.2,False,False,[0],"[2, 4, 5, 9]"
3,2,1,11,0.16,11.0,0.5,False,False,[1],[3]
4,3,1,10,0.08,12.0,0.3,False,False,[2],"[6, 7]"
5,4,1,8,0.04,23.0,100.0,False,False,[1],"[10, 12]"
6,4,2,5,0.17,40.0,100.0,False,False,[1],[8]
7,4,3,7,0.21,7.0,100.0,False,False,[3],[8]
8,4,4,9,0.28,5.0,0.5,False,False,[3],[10]
9,5,1,2,0.15,5.0,100.0,False,False,"[5, 6]",[12]
10,5,2,6,0.13,3.0,100.0,False,False,[1],"[11, 12]"
11,5,3,4,0.02,25.0,0.2,False,False,"[4, 7]",[12]
12,6,1,3,0.24,34.0,100.0,False,False,[9],[12]
13,7,1,1,0.15,8.0,0.5,False,False,"[4, 9, 8, 10, 11]",[13]
14,8,1,0,0.02,35.0,0.2,False,True,[12],[]
