node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,13,0.03,21.0,1000.0,True,False,[],"[1, 2]"
2,1,1,11,0.26,14.0,100.0,False,False,[0],"[3, 5, 11]"
3,1,2,12,0.19,39.0,0.5,False,False,[0],"[4, 7, 9]"
4,2,1,8,0.08,9.0,100.0,False,False,[1],[7]
5,2,2,10,0.17,14.0,0.5,False,False,[2],"[6, 8]"
6,3,1,9,0.14,10.0,100.0,False,False,[1],[8]
7,3,2,7,0.09,33.0,100.0,False,False,[4],[10]
8,4,1,5,0.09,31.0,100.0,False,False,"[2, 3]",[11]
9,5,1,6,0.06,8.0,0.2,False,False,"[4, 5]","[10, 12]"
10,6,1,4,0.24,5.0,100.0,False,False,[2],[13]
11,6,2,2,0.03,4.0,100.0,False,False,"[6, 8]",[13]
12,6,3,1,0.02,36.0,100.0,False,False,"[1, 7]",[13]
13,6,4,3,0.27,34.0,0.5,False,False,[8],[13]
14,7,1,0,0.15,16.0,0.5,False,True,"[9, 10, 11, 12]",[]
