node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,11,0.29,11.0,1000.0,True,False,[],"[1, 2, 3]"
2,1,1,8,0.17,25.0,100.0,False,False,[0],[6]
3,1,2,10,0.07,23.0,0.2,False,False,[0],"[4, 5, 7]"
4,1,3,5,0.29,40.0,100.0,False,False,[0],[10]
5,2,1,9,0.24,9.0,0.3,False,False,[2],"[6, 8, 9]"
6,2,2,7,0.24,2.0,100.0,False,False,[2],[9]
7,3,1,6,0.18,37.0,0.6,False,False,"[1, 4]",[9]
8,3,2,4,0.02,24.0,100.0,False,False,[2],[10]
9,4,1,3,0.01,27.0,100.0,False,False,[4],[11]
10,4,2,2,0.25,14.0,0.6,False,False,"[4, 6, 5]",[11]
11,4,3,1,0.2,19.0,100.0,False,False,"[3, 7]",[11]
12,5,1,0,0.19,26.0,0.6,False,True,"[8, 9, 10]",[]
