node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,12,0.07,24.0,1000.0,True,False,[],"[1, 2, 3, 4]"
2,1,1,10,0.14,26.0,100.0,False,False,[0],[5]
3,1,2,7,0.3,25.0,100.0,False,False,[0],[7]
4,1,3,8,0.18,15.0,100.0,False,False,[0],"[8, 9, 10]"
5,1,4,11,0.22,27.0,0.5,False,False,[0],[5]
6,2,1,9,0.23,8.0,0.5,False,False,"[4, 1]",[6]
7,3,1,6,0.07,17.0,0.2,False,False,[5],[9]
8,3,2,4,0.01,35.0,100.0,False,False,[2],[11]
9,4,1,5,0.04,10.0,100.0,False,False,[3],[10]
10,5,1,3,0.17,31.0,0.5,False,False,"[3, 6]",[12]
11,5,2,2,0.06,2.0,100.0,False,False,"[3, 8]",[12]
12,5,3,1,0.21,23.0,100.0,False,False,[7],[12]
13,6,1,0,0.2,26.0,0.5,False,True,"[9, 10, 11]",[]
