node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,11,0.22,18.0,1000.0,True,False,[],"[1, 2]"
2,1,1,10,0.12,24.0,0.2,False,False,[0],"[6, 10]"
3,1,2,9,0.11,1.0,100.0,False,False,[0],"[3, 4, 5]"
4,2,1,7,0.18,5.0,100.0,False,False,[2],[7]
5,2,2,5,0.04,37.0,100.0,False,False,[2],[9]
6,2,3,6,0.16,27.0,100.0,False,False,[2],[7]
7,2,4,8,0.09,39.0,0.4,False,False,[1],"[8, 10]"
8,3,1,2,0.08,21.0,100.0,False,False,"[5, 3]",[11]
9,3,2,3,0.07,13.0,100.0,False,False,[6],[11]
10,3,3,1,0.18,14.0,100.0,False,False,[4],[11]
11,3,4,4,0.26,19.0,0.5,False,False,"[1, 6]",[11]
12,4,1,0,0.19,23.0,0.5,False,True,"[7, 8, 9, 10]",[]
